"Plot Title: 10699194"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 10699194, SEN S/N: 10699194)","Temp, °F (LGR S/N: 10699194, SEN S/N: 10699194)","Coupler Detached (LGR S/N: 10699194)","Coupler Attached (LGR S/N: 10699194)","Host Connected (LGR S/N: 10699194)","Stopped (LGR S/N: 10699194)","End Of File (LGR S/N: 10699194)"
1,07/20/17 02:33:01 PM,14.4091,96.555,,,,,
2,07/20/17 02:33:44 PM,,,Logged,,,,
3,07/20/17 02:48:01 PM,15.1389,90.680,,,,,
4,07/20/17 03:03:01 PM,15.1332,90.309,,,,,
5,07/20/17 03:18:01 PM,15.1338,90.495,,,,,
6,07/20/17 03:33:01 PM,15.1299,90.680,,,,,
7,07/20/17 03:48:01 PM,15.1260,90.867,,,,,
8,07/20/17 04:03:01 PM,15.1221,91.053,,,,,
9,07/20/17 04:18:01 PM,15.1203,91.240,,,,,
10,07/20/17 04:33:01 PM,15.1187,91.425,,,,,
11,07/20/17 04:48:01 PM,15.1216,91.612,,,,,
12,07/20/17 05:03:01 PM,15.1199,91.800,,,,,
13,07/20/17 05:18:01 PM,15.1154,91.800,,,,,
14,07/20/17 05:33:01 PM,15.1160,91.987,,,,,
15,07/20/17 05:48:01 PM,15.1115,91.987,,,,,
16,07/20/17 06:03:01 PM,15.1092,91.987,,,,,
17,07/20/17 06:18:01 PM,15.1092,91.987,,,,,
18,07/20/17 06:33:01 PM,15.1092,91.987,,,,,
19,07/20/17 06:48:01 PM,15.1068,91.987,,,,,
20,07/20/17 07:03:01 PM,15.1068,91.987,,,,,
21,07/20/17 07:18:01 PM,15.1063,91.800,,,,,
22,07/20/17 07:33:01 PM,15.1063,91.800,,,,,
23,07/20/17 07:48:01 PM,15.1086,91.800,,,,,
24,07/20/17 08:03:01 PM,15.1102,91.612,,,,,
25,07/20/17 08:18:01 PM,15.1119,91.425,,,,,
26,07/20/17 08:33:01 PM,15.1141,91.425,,,,,
27,07/20/17 08:48:01 PM,15.1135,91.240,,,,,
28,07/20/17 09:03:01 PM,15.1124,90.867,,,,,
29,07/20/17 09:18:01 PM,15.1118,90.680,,,,,
30,07/20/17 09:33:01 PM,15.1134,90.495,,,,,
31,07/20/17 09:48:01 PM,15.1157,90.495,,,,,
32,07/20/17 10:03:01 PM,15.1196,90.309,,,,,
33,07/20/17 10:18:01 PM,15.1167,90.124,,,,,
34,07/20/17 10:33:01 PM,15.1206,89.938,,,,,
35,07/20/17 10:48:01 PM,15.1200,89.755,,,,,
36,07/20/17 11:03:01 PM,15.1200,89.755,,,,,
37,07/20/17 11:18:01 PM,15.1195,89.569,,,,,
38,07/20/17 11:33:01 PM,15.1211,89.384,,,,,
39,07/20/17 11:48:01 PM,15.1160,89.200,,,,,
40,07/21/17 12:03:01 AM,15.1176,89.017,,,,,
41,07/21/17 12:18:01 AM,15.1193,88.833,,,,,
42,07/21/17 12:33:01 AM,15.1170,88.833,,,,,
43,07/21/17 12:48:01 AM,15.1164,88.650,,,,,
44,07/21/17 01:03:01 AM,15.1158,88.466,,,,,
45,07/21/17 01:18:01 AM,15.1153,88.282,,,,,
46,07/21/17 01:33:01 AM,15.1129,88.282,,,,,
47,07/21/17 01:48:01 AM,15.1124,88.099,,,,,
48,07/21/17 02:03:01 AM,15.1073,87.915,,,,,
49,07/21/17 02:18:01 AM,15.1073,87.915,,,,,
50,07/21/17 02:33:01 AM,15.1044,87.733,,,,,
51,07/21/17 02:48:01 AM,15.1044,87.733,,,,,
52,07/21/17 03:03:01 AM,15.1060,87.552,,,,,
53,07/21/17 03:18:01 AM,15.1077,87.368,,,,,
54,07/21/17 03:33:01 AM,15.1100,87.368,,,,,
55,07/21/17 03:48:01 AM,15.1095,87.186,,,,,
56,07/21/17 04:03:01 AM,15.1042,87.004,,,,,
57,07/21/17 04:18:01 AM,15.1066,87.004,,,,,
58,07/21/17 04:33:01 AM,15.1081,86.823,,,,,
59,07/21/17 04:48:01 AM,15.1060,86.823,,,,,
60,07/21/17 05:03:01 AM,15.1031,86.641,,,,,
61,07/21/17 05:18:01 AM,15.1076,86.641,,,,,
62,07/21/17 05:33:01 AM,15.1093,86.459,,,,,
63,07/21/17 05:48:01 AM,15.1093,86.459,,,,,
64,07/21/17 06:03:01 AM,15.1110,86.277,,,,,
65,07/21/17 06:18:01 AM,15.1126,86.097,,,,,
66,07/21/17 06:33:01 AM,15.1126,86.097,,,,,
67,07/21/17 06:48:01 AM,15.1126,86.097,,,,,
68,07/21/17 07:03:01 AM,15.1166,85.915,,,,,
69,07/21/17 07:18:01 AM,15.1166,85.915,,,,,
70,07/21/17 07:33:01 AM,15.1160,85.735,,,,,
71,07/21/17 07:48:01 AM,15.1183,85.735,,,,,
72,07/21/17 08:03:01 AM,15.1206,85.735,,,,,
