Order,Week,Type,Date,Enclosure#,Vacetone,fir750nm,664nm,sec750nm,665nm,Comment
B71,4,Tiles,14-Aug-17,C3,10,0.001,0.069,0.003,0.05,Acetone at noon the day before
B72,4,Tiles,14-Aug-17,D5,10,0.003,0.117,0.007,0.084,
B73,4,Tiles,14-Aug-17,E2,10,0.015,0.102,0.007,0.065,
B74,4,Tiles,14-Aug-17,B2,10,0,0.101,0.003,0.07,
B75,4,Tiles,14-Aug-17,B6,10,0.001,0.066,0.003,0.049,
B76,4,Tiles,14-Aug-17,E9,10,0.004,0.124,0.007,0.097,
B77,4,Tiles,14-Aug-17,B9,10,0.003,0.084,0.005,0.063,
B78,4,Tiles,14-Aug-17,c6,10,0.001,0.036,0.004,0.028,
B79,4,Tiles,14-Aug-17,E5,10,0.004,0.06,0.004,0.048,
B80,4,Tiles,14-Aug-17,C2,10,0.001,0.071,0.002,0.048,
B81,4,Tiles,14-Aug-17,D8,10,0.001,0.072,0.003,0.049,
B82,4,Tiles,14-Aug-17,B10,10,0.005,0.05,0.006,0.039,
B83,4,Tiles,14-Aug-17,C5,10,0.001,0.081,0.004,0.057,
B84,4,Tiles,14-Aug-17,D9,10,0.002,0.049,0.005,0.038,
B85,4,Tiles,14-Aug-17,C9,10,0.001,0.036,0.004,0.027,
B86,4,Tiles,14-Aug-17,C8,10,0.001,0.086,0.003,0.028,
B87,4,Tiles,14-Aug-17,D2,10,0.004,0.076,0.006,0.071,
B88,4,Tiles,14-Aug-17,C7,10,0.008,0.063,0.006,0.056,
B89,4,Tiles,14-Aug-17,C10,10,0.01,0.056,0.004,0.044,
B90,4,Tiles,14-Aug-17,E10,10,0.008,0.117,0.008,0.107,
B91,4,Tiles,14-Aug-17,C4,10,0.002,0.13,0.006,0.096,
B92,4,Tiles,14-Aug-17,A4,10,0.004,0.071,0.005,0.052,
B93,4,Tiles,14-Aug-17,E7,10,0.003,0.043,0.004,0.034,
B94,4,Tiles,14-Aug-17,E6,10,0.003,0.124,0.007,0.088,
B95,4,Tiles,14-Aug-17,D3,10,0.004,0.158,0.008,0.124,
B96,4,Tiles,14-Aug-17,B3,10,0.003,0.076,0.004,0.056,
