Enclosure,Depth.m,V.mps
A1,0.595,0
A2,0.52,0
A3,0.465,0.029
A4,0.545,0.011
A5,0.43,0.039
A6,0.465,0.04
A7,0.51,0.055
A8,0.425,0.033
A9,0.395,0.021
A10,0.51,0.012
B1,0.595,0.004
B2,0.535,0
B3,0.55,0.026
B4,0.46,0.017
B5,0.58,0.001
B6,0.51,0.017
B7,0.52,0.003
B8,0.53,0.019
B9,0.475,0.004
B10,0.535,0.01
C1,0.58,0.02
C2,0.54,0.031
C3,0.51,0.025
C4,0.59,0.02
C5,0.52,0.015
C6,0.54,0.008
C7,0.6,0.025
C8,0.63,0.024
C9,0.65,0.027
C10,0.61,0.022
D1,0.6,0
D2,0.53,0
D3,0.535,0
D4,0.62,0
D5,0.53,0
D6,0.595,0
D7,0.605,0.002
D8,0.65,0.009
D9,0.595,0.013
D10,0.7,0.013
E1,0.55,0.006
E2,0.665,0.014
E3,0.59,0.034
E4,0.7,0.017
E5,0.735,0.01
E6,0.57,0.035
E7,0.58,0.014
E8,0.7,0.008
E9,0.74,0.017
E10,0.715,0.012
