Obs,Picture,Mean,Min,Max,Length.cm,Taxa,Enc,SampleSplit
1,DSC_0001.JPG,47.823,21.675,184.382,2.456,Od.Dragonflies,A01,
2,DSC_0001.JPG,63.882,24.576,149.667,0.327,Od.Damselflies,A01,
3,DSC_0001.JPG,43.44,18.333,166.142,1.268,Od.Damselflies,A01,
4,DSC_0001.JPG,52.586,29.739,141.667,0.188,Od.Damselflies,A01,
5,DSC_0001.JPG,103.059,61.667,175.688,0.549,Od.Damselflies,A01,
1,DSC_0001.JPG,81.952,50.921,129.992,0.5,Eph.Heptageniidae,A01,
2,DSC_0001.JPG,82.916,45.5,122.723,0.433,Eph.Heptageniidae,A01,
3,DSC_0001.JPG,50.305,26.333,136.6,0.379,Eph.Heptageniidae,A01,
4,DSC_0001.JPG,77.39,31.701,106.748,0.327,Eph.Heptageniidae,A01,
5,DSC_0001.JPG,61.261,25.872,138.924,0.732,Eph.Heptageniidae,A01,
6,DSC_0001.JPG,85.399,25.137,137.298,0.654,Eph.Leptophlebiidae,A01,
7,DSC_0001.JPG,54.425,25.054,113.667,0.656,Eph.Leptophlebiidae,A01,
8,DSC_0001.JPG,55.003,30.048,144.558,0.48,Eph.Leptophlebiidae,A01,
1,DSC_0001.JPG,111.381,65.988,147.934,0.705,Dip.ChironomidaeL,A01,
2,DSC_0001.JPG,69.491,33.222,121.108,0.839,Dip.ChironomidaeL,A01,
3,DSC_0001.JPG,67.695,35.369,154.404,0.681,Dip.ChironomidaeL,A01,
4,DSC_0001.JPG,89.141,41.356,138.667,0.609,Dip.ChironomidaeL,A01,
5,DSC_0001.JPG,104.727,63.375,160.463,0.269,Dip.ChironomidaeL,A01,
6,DSC_0001.JPG,90.355,53.885,165.992,1.171,Dip.ChironomidaeL,A01,
7,DSC_0001.JPG,78.875,55.696,131.333,0.614,Col.ElmL,A01,
8,DSC_0001.JPG,85.012,46.333,131.084,0.548,Col.ElmL,A01,
9,DSC_0001.JPG,67.13,34.656,145.441,0.616,Col.ElmL,A01,
10,DSC_0001.JPG,105.875,65.741,137.597,0.664,Tri.Polycentropidae,A01,
11,DSC_0001.JPG,117.425,76.396,141.245,0.584,Tri.Polycentropidae,A01,
1,DSC_0002.JPG,52.48,25.066,202.095,1.082,Od.Damselflies,C02,
2,DSC_0002.JPG,58.19,23.605,137.667,0.477,Od.Damselflies,C02,
3,DSC_0002.JPG,25.253,8.333,72.333,0.579,Col.Psephenidae,C02,
4,DSC_0002.JPG,30.935,11.037,146.779,0.437,Col.Psephenidae,C02,
5,DSC_0002.JPG,59.672,31.825,124.667,0.311,Col.Psephenidae,C02,
6,DSC_0002.JPG,17.059,10.333,57.752,0.271,Col.ElmA,C02,
7,DSC_0002.JPG,28.816,12.333,129.499,0.207,Col.ElmA,C02,
1,DSC_0002.JPG,45.297,17.445,183.618,0.565,Eph.Heptageniidae,C02,
2,DSC_0002.JPG,52.521,17.39,96.977,0.573,Eph.Heptageniidae,C02,
3,DSC_0002.JPG,82.723,30.635,161.633,0.235,Eph.Heptageniidae,C02,
4,DSC_0002.JPG,51.924,27.855,137.667,0.439,Eph.Heptageniidae,C02,
5,DSC_0002.JPG,75.468,41.322,114,0.201,Eph.Heptageniidae,C02,
6,DSC_0002.JPG,55.2,16.278,162.019,0.138,Eph.Heptageniidae,C02,
7,DSC_0002.JPG,66.89,38.989,173.177,0.229,Eph.Heptageniidae,C02,
8,DSC_0002.JPG,58.182,28.42,85.229,0.343,Eph.Heptageniidae,C02,
9,DSC_0002.JPG,63.449,30.477,149.526,0.463,Eph.Heptageniidae,C02,
10,DSC_0002.JPG,58.609,33.333,133.018,0.175,Eph.Heptageniidae,C02,
11,DSC_0002.JPG,88.539,25.03,142.887,0.277,Eph.Heptageniidae,C02,
12,DSC_0002.JPG,41.375,13.667,197.661,0.571,Eph.Heptageniidae,C02,
13,DSC_0002.JPG,92.463,47.146,155.603,0.203,Eph.Heptageniidae,C02,
14,DSC_0002.JPG,69.949,41.375,120,0.223,Eph.Heptageniidae,C02,
15,DSC_0002.JPG,72.719,33.248,142,0.386,Eph.Heptageniidae,C02,
16,DSC_0002.JPG,60.926,24.658,105.961,0.371,Eph.Heptageniidae,C02,
17,DSC_0002.JPG,61.481,23.187,169.193,0.426,Eph.Heptageniidae,C02,
18,DSC_0002.JPG,51.246,17.333,85.422,0.573,Eph.Heptageniidae,C02,
1,DSC_0002.JPG,122.09,43.987,168.673,0.648,Dip.ChironomidaeL,C02,
2,DSC_0002.JPG,128.136,72.685,150.761,0.092,Dip.ChironomidaeL,C02,
3,DSC_0002.JPG,124.411,70,141.047,0.364,Dip.ChironomidaeL,C02,
4,DSC_0002.JPG,104.367,49.705,154.074,0.466,Dip.ChironomidaeL,C02,
5,DSC_0002.JPG,118.654,102.001,131.817,0.157,Dip.ChironomidaeL,C02,
6,DSC_0002.JPG,70.296,39.977,122.667,0.479,Dip.ChironomidaeL,C02,
7,DSC_0002.JPG,121.441,53.347,156.729,0.329,Dip.ChironomidaeL,C02,
8,DSC_0002.JPG,97.114,46.533,124.186,0.474,Dip.ChironomidaeL,C02,
9,DSC_0002.JPG,94.147,66.899,138.556,0.491,Dip.ChironomidaeL,C02,
10,DSC_0002.JPG,73.426,28.075,106.3,0.224,Dip.ChironomidaeL,C02,
11,DSC_0002.JPG,97.503,41.857,129.603,0.549,Dip.ChironomidaeL,C02,
12,DSC_0002.JPG,80.885,47.407,132.925,0.51,Dip.ChironomidaeL,C02,
13,DSC_0002.JPG,107.458,55.765,141.333,0.377,Dip.ChironomidaeL,C02,
14,DSC_0002.JPG,99.71,71.537,119.031,0.156,Dip.ChironomidaeL,C02,
15,DSC_0002.JPG,101.9,66.98,200.269,0.598,Dip.ChironomidaeL,C02,
