Unit,Genus,Treatment,Exposure,L,H,W,Notes
A1,AMB,AMBLIVE,5,114.3,68.5,41,
A1,ACT,AMBLIVE,2,113.2,71.7,45,
A1,AMB,AMBLIVE,0.5,77.5,60,38.3,
A1,ACT,AMBLIVE,4,110.6,66,56.1,Fresh Dead
A1,AMB,AMBLIVE,1,97,71,41.7,
A1,AMB,AMBLIVE,2,102.7,72.5,41.9,
A1,ACT,AMBLIVE,0,118.1,10.2,53.5,
A1,AMB,AMBLIVE,NA,NA,NA,NA,NotRecovered
A1,AMB,AMBLIVE,NA,NA,NA,NA,NotRecovered
A1,AMB,AMBLIVE,NA,NA,NA,NA,NotRecovered
A5,ACT,AMBSHAM,2,128,86,69.3,Eggs on Shell
A5,ACT,AMBSHAM,2.5,110.1,71.3,58.1,
A5,AMB,AMBSHAM,2.5,81.5,57.3,38.6,
A5,AMB,AMBSHAM,5,99.5,75.2,59.3,
A5,ACT,AMBSHAM,0,97.8,54.9,48.4,
A5,AMB,AMBSHAM,0,87.9,65.1,44.4,
A5,AMB,AMBSHAM,1.5,98.9,66.5,40.5,
A5,AMB,AMBSHAM,4.5,77.5,59.8,35.7,
A5,AMB,AMBSHAM,3,81.2,60.7,37.8,
A5,AMB,AMBSHAM,0,84.1,59.4,38.9,
C1,ACT,ACTLIVE,4,120.7,78.2,55.3,
C1,AMB,ACTLIVE,4.5,89.6,78.8,41.9,
C1,ACT,ACTLIVE,3,117.3,69.1,47.5,
C1,AMB,ACTLIVE,4,112.2,82,46.6,
C1,ACT,ACTLIVE,1.5,114.5,69.4,44.5,
C1,ACT,ACTLIVE,0,118.2,72.5,52.4,
C1,ACT,ACTLIVE,0,115.2,70.6,53.6,
C1,AMB,ACTLIVE,5,117.5,76.7,44.6,
C1,ACT,ACTLIVE,3.5,111,65.8,47.9,
C1,AMB,ACTLIVE,4,104.2,73.4,44.2,
E3,ACT,ACTSHAM,4.5,132.8,75.9,59.5,
E3,AMB,ACTSHAM,4,113.2,78,56.1,
E3,ACT,ACTSHAM,3,106.9,67.8,50.2,
E3,ACT,ACTSHAM,3.5,102.3,60.8,49.6,
E3,ACT,ACTSHAM,4,114.3,66.2,53.2,
E3,ACT,ACTSHAM,6.5,118.8,71,50.1,
E3,ACT,ACTSHAM,4.5,112.7,75.3,54,
E3,ACT,ACTSHAM,2,113.4,71.8,50.6,
E3,AMB,ACTSHAM,0,96.2,76,47.4,
E3,AMB,ACTSHAM,0,89.2,66.8,46.1,
C6,ACT,ACTLIVE,6.5,101.5,65.5,41.4,
C6,ACT,ACTLIVE,2.5,108.2,70,47.3,
C6,ACT,ACTLIVE,1,132.6,75.5,58.3,
C6,ACT,ACTLIVE,4.5,116.7,72.7,55.6,
C6,AMB,ACTLIVE,0,103,71.2,49.5,
C6,ACT,ACTLIVE,5.5,106.5,73.9,56,
C6,ACT,ACTLIVE,4,104.3,64,47.7,
