Taxa,Family,Order,Class,T.volt,T.dev,T.sync,T.Lifespan,T.exit,T.desi,T.disp,T.flgt,T.drift,T.crwl,T.swim,T.atch,T.armr,T.shpe,T.resp,T.MatSize,T.Rheo,T.Ther,T.Habit,T.TropP,T.TropS,Trait.Source,LowestID,Test.Length
Biv.Corbicula,Corbicula,Veneroida,Bivalvia,2,1,1,3,1,1,1,1,1,1,1,2,3,2,2,3,1,2,1,2,,Thorp & Covich,,
Cladocera.miscD,misc,Cladocera,Branchiopoda,,,,,,,,,,,,,,,,,,,5,2,,Thorp & Covich,,
Col.ElmL,Elmidae,Coleoptera,Insecta,1,3,1,3,1,2,1,1,2,2,1,1,2,2,1,1,2,2,4,1,,LeRoy Poff 2008,,
Col.ElmA,Elmidae,Coleoptera,Insecta,,,,,,,,,,,,,,,,,,,4,1,,Merritt & Cummins,,
Col.Gyrinidae,Gyrinidae,Coleoptera,Insecta,,,,,,,,,,,,,,,,,,,,,,Merritt & Cummins,,
Col.Hydrophilidae,Hydrophilidae,Coleoptera,Insecta,,,,,,,,,,,,,,,,,,,2,4,,Merritt & Cummins,,
Col.Myst,misc,Coleoptera,Insecta,,,,,,,,,,,,,,,,,,,,,,,,
Col.Psephenidae,Psephenidae,Coleoptera,Insecta,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,3,2,4,3,,LeRoy Poff 2008,,
Col.Staphylinidae,Staphylinidae,Coleoptera,Insecta,,,,,,,,,,,,,,,,,,,4,4,,Merritt & Cummins,,
Copepoda.Cyclopoida,misc,Copepoda,Malacostraca,,,,,,,,,,,,,,,,,,,,1,,Thorp & Covich,,
Dip.ChironomidaeL,Chironomidae,Diptera,Insecta,2,1,2,1,2,1,2,1,3,1,1,1,1,2,2,1,2,2,1,1,,LeRoy Poff 2008,Chironomidae,
Dip.ChironomidaeP,Chironomidae,Diptera,Insecta,,1,,1,,,,,,,,,,,,1,,,1,1,,LeRoy Poff 2008,Chironomidae,
Dip.Ceratopogonidae,Ceratopogonidae,Diptera,Insecta,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,4,,,,
Dip.Other,misc,Diptera,Insecta,,2,,2,,,,,,,,,,,,2,,,1,5,,LeRoy Poff 2008,,
Dip.Tipulidae,Tipulidae,Diptera,Insecta,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,3,5,,,,
Entom.Isotomidae,Isotomidae,Entobyomorpha,Entognatha,,,,,,,,,,,,,,,,,,,6,1,,Merritt & Cummins,,
Eph.Baetidae,Baetidae,Ephemeroptera,Insecta,3,1,1,1,1,1,1,1,1,2,3,1,1,1,2,1,2,2,5,1,,LeRoy Poff 2008,,
Eph.Heptageniidae,Heptageniidae,Ephemeroptera,Insecta,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,4,3,,LeRoy Poff 2008,Stenonema femoratum,
Eph.LeptA,Leptophlebiidae,Ephemeroptera,Insecta,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,3,4,1,,LeRoy Poff 2008,Neochoroterpes,
Eph.Leptophlebiidae,Leptophlebiidae,Ephemeroptera,Insecta,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,2,3,4,1,,LeRoy Poff 2008,,
Eph.Myst,Ephemerellidae,Ephemeroptera,Insecta,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,3,2,4,1,,LeRoy Poff 2008,Ephemerellidae,
Eph.Polymitarcyidae,Polymitarcyidae,Ephemeroptera,Insecta,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,,LeRoy Poff 2008,,
Eph.Trcorythidae,Tricorythidae,Ephemeroptera,Insecta,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,3,1,,LeRoy Poff 2008,Caenidae,
FLAT WORMS,Planariidae,Tricladida,Turbellaria,,,,,,,,,,,,,,,,,,,,4,,Thorp & Covich,,
Gas.Ancylidae,Ancylidae,Gastropoda,Gastropoda,,1,,3,1,,1,1,1,1,1,2,3,1,1,2,,,4,3,,Thorp & Covich,,
Gas.miscG,Physidae,Gastropoda,Gastropoda,,1,,3,1,,1,1,1,1,1,2,3,2,1,2,,,4,3,,Thorp & Covich,,
Gas.Physidae,Physidae,Gastropoda,Gastropoda,,1,,3,1,,1,1,1,1,1,2,3,2,1,2,,,4,3,,Thorp & Covich,,
Gas.Planorbidae,Planorbidae,Gastropoda,Gastropoda,,1,,3,1,,1,1,1,1,1,2,3,2,1,2,,,4,3,,Thorp & Covich,,
Hemiptera,Hebridae,Hemiptera,Insecta,,,,,,,,,,,,,,,,,,,2,4,,Merritt & Cummins,Hebridae,
Hirudinea.leach,misc,Annelida,Clitellata,,,,,,,,,,,,,,,,,,,,6,,Thorp & Covich,,
Hydrozoans.miscH,misc,misc,Hydrozoa,,,,,,,,,,,,,,,,,,,3or4,2,,Thorp & Covich,,
Isopoda.miscI,misc,Isopoda,misc,,,,,,,,,,,,,,,,,,,,1,,Thorp & Covich,,
Lep.Pyralidae,Pyralidae,Lepidoptera,Insecta,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,4,3,,,,
Megaloptera.miscM,Corydalidae,Megaloptera,Insecta,1,2,2,2,1,1,1,1,1,3,1,1,2,2,1,3,2,2,4,4,,LeRoy Poff 2008,Corydalidae,
MYSTERY,misc,misc,misc,,,,,,,,,,,,,,,,,,,,,,,,
MysteryTricoptera,misc,Trichoptera,misc,,,,,,,,,,,,,,,,,,,,,,,,
Od.Damselflies,Coenagrionidae,Odonata,Insecta,2,2,2,2,1,1,1,1,1,3,2,1,1,1,2,2,2,2,2,4,,LeRoy Poff 2008,Coenagrionidae,
