"","TEid","richness","Shannon","TotalN","TotalBM.mg","BMDensity.mgpm2","Enc","Week","Treatment","basketn","Density.npm","Type","Spp","Enclosure"
"1","w12A01",10,1.32072174084451,176,65.7422300244759,991.587179856348,"A01","w12","AMBL",2,2654.60030165913,"Live","AMB","A1"
"2","w12A02",14,1.36860025872446,163,91.0636066100142,915.672263549665,"A02","w12","CTRL",3,1639.01458019105,"Ctrl","Ctrl","A2"
"3","w12A03",20,1.9242404641967,188,92.1983535483142,927.082489173597,"A03","w12","ACTL",3,1890.39718451483,"Live","ACT","A3"
"4","w12A04",13,1.21553814830056,181,99.4655216415492,1500.23411224056,"A04","w12","AMBS",2,2730.01508295626,"Sham","AMB","A4"
"5","w12A05",16,1.12003571723977,261,145.501740433693,2194.59638663187,"A05","w12","AMBS",2,3936.65158371041,"Sham","AMB","A5"
"6","w12A06",15,1.86257581425982,120,28.1645209356622,283.202824893536,"A06","w12","CTRL",3,1206.63650075415,"Ctrl","Ctrl","A6"
"7","w12A08",12,1.66797701300155,118,66.621778695065,669.902249321921,"A08","w12","ACTL",3,1186.52589240825,"Live","ACT","A8"
"8","w12A09",11,1.61071233578354,120,49.7392805898373,500.143595674583,"A09","w12","AMBS",3,1206.63650075415,"Sham","AMB","A9"
"9","w12A10",17,1.3457270272219,274,130.424407012606,1311.45708408855,"A10","w12","ACTS",3,2755.15334338864,"Sham","ACT","A10"
"10","w12B01",15,1.60732260663277,196,108.219072930851,1088.1756956345,"B01","w12","CTRL",3,1970.83961789844,"Ctrl","Ctrl","B1"
"11","w12B02",12,1.18149646288671,144,56.8304034663571,571.446993125763,"B02","w12","AMBS",3,1447.96380090498,"Sham","AMB","B2"
"12","w12B03",17,1.50310620995174,193,104.305521623206,1048.82374683968,"B03","w12","AMBS",3,1940.67370537959,"Sham","AMB","B3"
"13","w12B04",15,1.16042054949936,244,120.612453207607,1212.79490404834,"B04","w12","AMBL",3,2453.4942182001,"Live","AMB","B4"
"14","w12B05",12,0.982436575295457,218,122.031799256325,1227.06686029487,"B05","w12","ACTS",3,2192.05630970337,"Sham","ACT","B5"
"15","w12B06",17,1.48631855255988,208,79.8128382351091,802.542365360574,"B06","w12","AMBS",3,2091.50326797386,"Sham","AMB","B6"
"16","w12B07",18,1.63957319592433,211,84.5880039473213,850.558109073115,"B07","w12","AMBL",3,2121.66918049271,"Live","AMB","B7"
"17","w12B08",15,2.13129411581834,142,59.7856858695464,601.163256606801,"B08","w12","CTRL",3,1427.85319255908,"Ctrl","Ctrl","B8"
"18","w12B09",14,1.5314411467101,194,103.893429722717,1044.68003743305,"B09","w12","ACTL",3,1950.72900955254,"Live","ACT","B9"
"19","w12B10",15,1.61236074229123,241,128.366374346107,1290.76293962903,"B10","w12","AMBL",3,2423.32830568125,"Live","AMB","B10"
"20","w12C01",17,1.42695103815885,217,99.2966353902009,1497.68680829866,"C01","w12","ACTL",2,3273.00150829563,"Live","ACT","C1"
