"","TEid","Week","ID","Unit","GTreat","Month","Depth","Velocity","Total Fish","Prob.  Fish","Prob.Lepomis","Log(probFish+1)","Enc2","TreatA","Treatment","ChlA.ug.cm2","AFDMg.cm2","sdAFDM","ChlA.g.cm2","AutoIndex","Structure"
"1","w09A01","w09",71,"A1","AMBLIVE","Sept",0.595,0,1,0.083333333,0,0.0347621061255828,"A01","AMBL","AMBL",0.494479907144856,0.00179783451842276,0.000862743406263459,4.94479907144856e-07,3635.80904389728,2.07142857142857
"2","w09A02","w09",92,"A2","CONTROL","Sept",0.52,0,1,0.083333333,0.083333333,0.0347621061255828,"A02","CTRL","CTRL",0.269716312988103,0.00140145801910507,0.0012176172576993,2.69716312988103e-07,5196.04470185267,NA
"3","w09A03","w09",51,"A3","ACTLIVE","Sept",0.465,0.029,3,0.25,0.166666667,0.0969100130080564,"A03","ACTL","ACTL",0.899054376627011,0.002320904509687,0.000818496747664129,8.99054376627011e-07,2581.49514648308,3.38888888888889
"4","w09A04","w09",81,"A4","AMBSHAM","Sept",0.545,0.011,2,0.166666667,0,0.0669467897546973,"A04","AMBS","AMBS",0.80914893896431,0.00132400405998217,0.000457003859879039,8.0914893896431e-07,1636.29215367552,3.56
"5","w09A05","w09",82,"A5","AMBSHAM","Sept",0.43,0.039,3,0.25,0.25,0.0969100130080564,"A05","AMBS","AMBS",0.764196220132959,0.00151915268194338,0.000827945483567878,7.64196220132959e-07,1987.90918081101,2.1
"6","w09A06","w09",91,"A6","CONTROL","Sept",0.465,0.04,0,0,0,0,"A06","CTRL","CTRL",1.12381797078376,0.00136464842347195,0.000507869554827659,1.12381797078376e-06,1214.29667343745,NA
"7","w09A07","w09",62,"A7","ACTSHAM","Sept",0.51,0.055,2,0.166666667,0,0.0669467897546973,"A07","ACTS","ACTS",NA,0.00112638968449586,0.000851589888905949,NA,NA,2.625
"8","w09A08","w09",52,"A8","ACTLIVE","Sept",0.425,0.033,2,0.166666667,0.083333333,0.0669467897546973,"A08","ACTL","ACTL",0.494479907144856,0.00323954368072015,0.00129295124166541,4.94479907144856e-07,6551.41621309829,3.85
"9","w09A09","w09",83,"A9","AMBSHAM","Sept",0.395,0.021,7,0.583333333,0.25,0.199572354813774,"A09","AMBS","AMBS",1.97791962857942,0.00148010705220176,0.000610456108137272,1.97791962857942e-06,748.315063370292,2
"10","w09A10","w09",61,"A10","ACTSHAM","Sept",0.51,0.012,6,0.5,0.416666667,0.176091259055681,"A10","ACTS","ACTS",0.584385344807557,0.00128143815374805,0.000424876237331422,5.84385344807557e-07,2192.79652567269,1.95
"11","w09B01","w09",93,"B1","CONTROL","Sept",0.595,0.004,1,0.083333333,0,0.0347621061255828,"B01","CTRL","CTRL",0.359621750650805,0.00126858435681966,0.000674196834033705,3.59621750650805e-07,3527.55180832058,NA
"12","w09B02","w09",90,"B2","AMBSHAM","Sept",0.535,0,0,0,0,0,"B02","AMBS","AMBS",0.134858156494052,0.0010910005027652,0.000419500252287662,1.34858156494052e-07,8089.98529364683,1.85
"13","w09B03","w09",84,"B3","AMBSHAM","Sept",0.55,0.026,5,0.416666667,0.166666667,0.151267675432836,"B03","AMBS","AMBS",0.674290782470258,0.00118508942038354,0.000749107593370783,6.74290782470258e-07,1757.53465892263,2.11111111111111
"14","w09B04","w09",73,"B4","AMBLIVE","Sept",0.46,0.017,3,0.25,0.166666667,0.0969100130080564,"B04","AMBL","AMBL",NA,0.000956480153036814,0.000121393210666129,NA,NA,2.65
"15","w09B05","w09",63,"B5","ACTSHAM","Sept",0.58,0.001,2,0.166666667,0.083333333,0.0669467897546973,"B05","ACTS","ACTS",2.56230497338698,0.00110940530058177,0.000334813004020135,2.56230497338698e-06,432.97160646545,2.27777777777778
"16","w09B06","w09",85,"B6","AMBSHAM","Sept",0.51,0.017,3,0.25,0.166666667,0.0969100130080564,"B06","AMBS","AMBS",0.404574469482155,NA,NA,4.04574469482155e-07,NA,1.65
"17","w09B07","w09",74,"B7","AMBLIVE","Sept",0.52,0.003,3,0.25,0.083333333,0.0969100130080564,"B07","AMBL","AMBL",0.179810875325402,0.000946575211281098,0.000218807133204927,1.79810875325402e-07,5264.28231645106,1.83333333333333
"18","w09B08","w09",94,"B8","CONTROL","Sept",0.53,0.019,1,0.083333333,0,0.0347621061255828,"B08","CTRL","CTRL",2.83202128637508,0.00180652123263314,0.00124653485466872,2.83202128637508e-06,637.891120848686,NA
"19","w09B09","w09",53,"B9","ACTLIVE","Sept",0.475,0.004,4,0.333333333,0.25,0.124938736499726,"B09","ACTL",NA,NA,NA,NA,NA,NA,3.83333333333333
"20","w09B10","w09",72,"B10","AMBLIVE","Sept",0.535,0.01,2,0.166666667,0.083333333,0.0669467897546973,"B10","AMBL","AMBL",1.07886525195241,0.00106275572559648,0.000393082777395077,1.07886525195241e-06,985.068083037447,2.15
"21","w09C01","w09",54,"C1","ACTLIVE","Sept",0.58,0.02,3,0.25,0,0.0969100130080564,"C01","ACTL","ACTL",NA,0.000700786141962612,0.000175007231597657,NA,NA,2.95
"22","w09C02","w09",55,"C2","ACTLIVE","Sept",0.54,0.031,2,0.166666667,0,0.0669467897546973,"C02","ACTL","ACTL",NA,0.000641315252320946,0.000108782382066319,NA,NA,2
"23","w09C03","w09",95,"C3","CONTROL","Sept",0.51,0.025,1,0.083333333,0.083333333,0.0347621061255828,"C03","CTRL","CTRL",1.30362884610917,0.000677640063829319,1.93211243684393e-05,1.30362884610917e-06,519.810577874075,NA
"24","w09C04","w09",59,"C4","ACTLIVE","Sept",0.59,0.02,0,0,0,0,"C04","ACTL","ACTL",1.34858156494052,0.000728695324283559,2.26636788841876e-05,1.34858156494052e-06,540.342047694906,1.15
"25","w09C05","w09",75,"C5","AMBLIVE","Sept",0.52,0.015,9,0.75,0.416666667,0.243038048686294,"C05","AMBL","AMBL",1.30362884610917,0.000865811068016952,0.000119825473092148,1.30362884610917e-06,664.154579427318,3.2
"26","w09C06","w09",56,"C6","ACTLIVE","Sept",0.54,0.008,2,0.166666667,0,0.0669467897546973,"C06","ACTL","ACTL",1.21372340844646,0.000506574035985797,3.50122193100921e-05,1.21372340844646e-06,417.371892525496,2.66666666666667
"27","w09C07","w09",87,"C7","AMBSHAM","Sept",0.6,0.025,8,0.666666667,0.166666667,0.221848749703215,"C07","AMBS","AMBS",2.02287234741077,0.000849752077723025,0.000145459906151175,2.02287234741077e-06,420.07202224633,2.15
"28","w09C08","w09",76,"C8","AMBLIVE","Sept",0.63,0.024,3,0.25,0.166666667,0.0969100130080564,"C08","AMBL","AMBL",0.988959814289711,0.00136982570806101,6.54728501098702e-05,9.88959814289711e-07,1385.11766430554,1.7
"29","w09C09","w09",64,"C9","ACTSHAM","Sept",0.65,0.027,4,0.333333333,0.083333333,0.124938736499726,"C09","ACTS","ACTS",2.65221041104968,0.000202016065737121,9.65181959402371e-06,2.65221041104968e-06,76.1689437970226,2.1
"30","w09C10","w09",86,"C10","AMBSHAM","Sept",0.61,0.022,3,0.25,0.166666667,0.0969100130080564,"C10","AMBS","AMBS",1.97791962857942,0.000691302161890405,NA,1.97791962857942e-06,349.509733308481,2.38888888888889
"31","w09D01","w09",65,"D1","ACTSHAM","Sept",0.6,0,2,0.166666667,0.166666667,0.0669467897546973,"D01","ACTS","ACTS",2.06782506624213,0.00407054978854287,0.00428126566049792,2.06782506624213e-06,1968.51748003051,2.11111111111111
"32","w09D02","w09",66,"D2","ACTSHAM","Sept",0.53,0,1,0.083333333,0.083333333,0.0347621061255828,"D02","ACTS","ACTS",0.584385344807557,0.00340684289910297,0.0028385310558896,5.84385344807557e-07,5829.7883911255,1.75
"33","w09D03","w09",77,"D3","AMBLIVE","Sept",0.535,0,6,0.5,0.5,0.176091259055681,"D03","AMBL","AMBL",0.764196220132959,0.000670054346524929,0.00010115068633648,7.64196220132959e-07,876.809291739691,1.77777777777778
"34","w09D04","w09",97,"D4","CONTROL","Sept",0.62,0,1,0.083333333,0,0.0347621061255828,"D04","CTRL","CTRL",0.809148938964309,0.00118640326674759,0.00063211178982574,8.09148938964309e-07,1466.23595436726,NA
"35","w09D05","w09",98,"D5","CONTROL","Sept",0.53,0,8,0.666666667,0.416666667,0.221848749703215,"D05","CTRL","CTRL",1.25867612727781,0.00116354234001293,0.000345351297282804,1.25867612727781e-06,924.417580342425,NA
"36","w09D06","w09",78,"D6","AMBLIVE","Sept",0.595,0,2,0.166666667,0.083333333,0.0669467897546973,"D06","AMBL","AMBL",0.988959814289711,0.00105472765685329,0.000457900278413481,9.88959814289711e-07,1066.50203740666,2.65
"37","w09D07","w09",57,"D7","ACTLIVE","Sept",0.605,0.002,5,0.416666667,0.166666667,0.151267675432836,"D07","ACTL","ACTL",0.269716312988103,0.000682871647721014,0.000154126022827883,2.69716312988103e-07,2531.81440957609,1.88888888888889
"38","w09D08","w09",88,"D8","AMBSHAM","Sept",0.65,0.009,1,0.083333333,0,0.0347621061255828,"D08","AMBS","AMBS",NA,0.000986514007151911,3.764523521975e-05,NA,NA,1.78571428571429
"39","w09D09","w09",67,"D9","ACTSHAM","Sept",0.595,0.013,7,0.583333333,0.25,0.199572354813774,"D09","ACTS","ACTS",0.944007095458361,0.000705666882137464,0.000139664127577594,9.44007095458361e-07,747.522858178125,3.27777777777778
"40","w09D10","w09",96,"D10","CONTROL","Sept",0.7,0.013,1,0.083333333,0,0.0347621061255828,"D10","CTRL","CTRL",0.314669031819454,0.00105948570797926,NA,3.14669031819454e-07,3366.98435766998,NA
"41","w09E01","w09",79,"E1","AMBLIVE","Sept",0.55,0.006,5,0.416666667,0.25,0.151267675432836,"E01","AMBL","AMBL",0.85410165779566,0.00153567837391366,0.000545324934496189,8.5410165779566e-07,1798.00420698992,1.11111111111111
"42","w09E02","w09",89,"E2","AMBSHAM","Sept",0.665,0.014,3,0.25,0.25,0.0969100130080564,"E02","AMBS","AMBS",1.16877068961511,0.00259762024467906,0.00223462604124169,1.16877068961511e-06,2222.52343232057,1.65
"43","w09E03","w09",69,"E3","ACTSHAM","Sept",0.59,0.034,1,0.083333333,0,0.0347621061255828,"E03","ACTS","ACTS",1.34858156494052,0.00129645979717716,0.000619538921578174,1.34858156494052e-06,961.350674576618,3.2
"44","w09E04","w09",80,"E4","AMBLIVE","Sept",0.7,0.017,2,0.166666667,0.083333333,0.0669467897546973,"E04","AMBL","AMBL",0.449527188313506,0.000685915391797749,0.000218383908575891,4.49527188313506e-07,1525.85963570102,1.5
"45","w09E05","w09",99,"E5","CONTROL","Sept",0.735,0.01,1,0.083333333,0.083333333,0.0347621061255828,"E05","CTRL","CTRL",1.48343972143457,0.00153208478474185,0.000750129692206545,1.48343972143457e-06,1032.79207277815,NA
"46","w09E06","w09",58,"E6","ACTLIVE","Sept",0.57,0.035,5,0.416666667,0.25,0.151267675432836,"E06","ACTL","ACTL",NA,0.00291479735525646,0.00170988943656468,NA,NA,3.05
"47","w09E07","w09",70,"E7","ACTSHAM","Sept",0.58,0.014,4,0.333333333,0.25,0.124938736499726,"E07","ACTS",NA,NA,NA,NA,NA,NA,1.22222222222222
"48","w09E08","w09",100,"E8","CONTROL","Sept",0.7,0.008,2,0.166666667,0,0.0669467897546973,"E08","CTRL",NA,NA,NA,NA,NA,NA,NA
"49","w09E09","w09",60,"E9","ACTLIVE","Sept",0.74,0.017,0,0,0,0,"E09","ACTL","ACTL",0.539432625976206,NA,NA,5.39432625976206e-07,NA,1.2
"50","w09E10","w09",68,"E10","ACTSHAM","Sept",0.715,0.012,5,0.416666667,0.25,0.151267675432836,"E10","ACTS","ACTS",1.88801419091672,0.00188387235866465,0.00115545364969582,1.88801419091672e-06,997.806249406387,3.65
"51","w12A01","w12",21,"A1","AMBLIVE","Oct",0.57,0,7,0.291666667,0.208333333,0.111150452234743,"A01","AMBL","AMBL",0.404574469482155,0.000508107088989459,0.000158645752189293,4.04574469482155e-07,1255.90497502184,2.07142857142857
"52","w12A02","w12",41,"A2","CONTROL","Oct",0.52,0.029,5,0.208333333,0.166666667,0.0821867560675447,"A02","CTRL","CTRL",0.584385344807557,0.000382101558572149,8.5322085211037e-05,5.84385344807557e-07,653.852054927864,NA
"53","w12A03","w12",1,"A3","ACTLIVE","Oct",0.5,0.011,3,0.125,0.125,0.0511525224473813,"A03","ACTL","ACTL",2.11277778507348,NA,NA,2.11277778507348e-06,NA,3.38888888888889
"54","w12A04","w12",31,"A4","AMBSHAM","Oct",0.49,0.039,5,0.208333333,0.208333333,0.0821867560675447,"A04","AMBS","AMBS",1.16877068961511,0.000633484162895917,3.73284122798287e-05,1.16877068961511e-06,542.008940269137,3.56
"55","w12A05","w12",32,"A5","AMBSHAM","Oct",0.44,0.04,1,0.041666667,0.041666667,0.0177287670994059,"A05","AMBS","AMBS",0.719243501301609,0.00106523378582205,0.000253299940470296,7.19243501301609e-07,1481.04749489471,2.1
"56","w12A06","w12",42,"A6","CONTROL","Oct",0.44,0.055,1,0.041666667,0.041666667,0.0177287670994059,"A06","CTRL","CTRL",1.12381797078376,0.000164027149321274,5.59926184197431e-05,1.12381797078376e-06,145.955264629626,NA
