"Treatment" "Taxa" "FFG"
"1" "ACTL" "Gas.Planorbidae" "Herbivore"
"2" "ACTS" "Hydrozoans.miscH" NA
"3" "ACTL" "Ostracoda" "C-Gatherer"
"4" "CTRL" "Biv.Corbicula" "C-Filterer"
"5" "ACTS" "Dip.ChironomidaeL" "C-Gatherer"
"6" "ACTL" "Biv.Corbicula" "C-Filterer"
"7" "AMBS" "Hydrozoans.miscH" NA
"8" "ACTS" "Eph.Leptophlebiidae" "C-Gatherer"
"9" "ACTS" "Tromb.Hydracarina" "Parasite"
"10" "ACTL" "Eph.Heptageniidae" "Herbivore"
"11" "AMBL" "Biv.Corbicula" "C-Filterer"
"12" "CTRL" "Dip.ChironomidaeL" "C-Gatherer"
"13" "AMBS" "Biv.Corbicula" "C-Filterer"
"14" "AMBL" "Hydrozoans.miscH" NA
"15" "ACTS" "Biv.Corbicula" "C-Filterer"
"16" "ACTS" "Copepoda.Cyclopoida" "C-Gatherer"
"17" "AMBL" "Eph.Heptageniidae" "Herbivore"
"18" "CTRL" "Hydrozoans.miscH" NA
"19" "AMBS" "Eph.Heptageniidae" "Herbivore"
"20" "ACTS" "Eph.Heptageniidae" "Herbivore"
"21" "AMBS" "Gas.Ancylidae" "Herbivore"
"22" "AMBL" "Gas.miscG" "Herbivore"
"23" "CTRL" "Gas.Ancylidae" "Herbivore"
"24" "ACTS" "Gas.Ancylidae" "Herbivore"
"25" "ACTL" "Tromb.Hydracarina" "Parasite"
"26" "AMBL" "Gas.Ancylidae" "Herbivore"
"27" "ACTS" "Eph.Trcorythidae" "C-Gatherer"
"28" "CTRL" "Eph.Heptageniidae" "Herbivore"
"29" "CTRL" "Tromb.Hydracarina" "Parasite"
"30" "AMBL" "Tromb.Hydracarina" "Parasite"
"31" "AMBS" "Tromb.Hydracarina" "Parasite"
"32" "ACTS" "Dip.ChironomidaeP" "C-Gatherer"
"33" "ACTL" "Hydrozoans.miscH" NA
"34" "ACTL" "Hirudinea.leach" "Parasite"
"35" "AMBS" "Dip.ChironomidaeL" "C-Gatherer"
"36" "ACTL" "Gas.Ancylidae" "Herbivore"
"37" "AMBS" "Cladocera.miscD" "C-Filterer"
"38" "ACTS" "Tri.Polycentropidae" "Predator"
"39" "ACTL" "Dip.ChironomidaeL" "C-Gatherer"
"40" "ACTL" "Cladocera.miscD" "C-Filterer"
"41" "ACTL" "Copepoda.Cyclopoida" "C-Gatherer"
"42" "AMBL" "Copepoda.Cyclopoida" "C-Gatherer"
"43" "CTRL" "Copepoda.Cyclopoida" "C-Gatherer"
"44" "CTRL" "Eph.Trcorythidae" "C-Gatherer"
"45" "ACTL" "Gas.miscG" "Herbivore"
"46" "AMBS" "Od.Damselflies" "Predator"
"47" "ACTS" "Hirudinea.leach" "Parasite"
"48" "AMBL" "Tri.Polycentropidae" "Predator"
"49" "AMBL" "Dip.Other" "Shredder"
"50" "CTRL" "Gas.miscG" "Herbivore"
"51" "ACTS" "Entom.Isotomidae" "C-Gatherer"
"52" "ACTS" "FLAT WORMS" "Predator"
"53" "ACTL" "Tri.Polycentropidae" "Predator"
"54" "AMBS" "Tri.Polycentropidae" "Predator"
"55" "AMBL" "FLAT WORMS" "Predator"
"56" "AMBS" "Copepoda.Cyclopoida" "C-Gatherer"
"57" "CTRL" "FLAT WORMS" "Predator"
"58" "ACTL" "Eph.Trcorythidae" "C-Gatherer"
"59" "AMBL" "Dip.ChironomidaeL" "C-Gatherer"
"60" "AMBL" "Cladocera.miscD" "C-Filterer"
"61" "AMBS" "FLAT WORMS" "Predator"
"62" "CTRL" "Tri.Polycentropidae" "Predator"
"63" "AMBL" "Eph.Trcorythidae" "C-Gatherer"
"64" "AMBS" "Entom.Isotomidae" "C-Gatherer"
"65" "AMBL" "Tri.Hydroptilidae" "Herbivore"
"66" "CTRL" "Od.Damselflies" "Predator"
"67" "AMBL" "Tri.Molannidae" "Herbivore"
"68" "ACTL" "Dip.ChironomidaeP" "C-Gatherer"
"69" "AMBS" "Eph.Trcorythidae" "C-Gatherer"
"70" "ACTS" "Oligochaeta.misc" "C-Gatherer"
"71" "AMBS" "Hirudinea.leach" "Parasite"
"72" "ACTL" "Eph.Leptophlebiidae" "C-Gatherer"
"73" "AMBS" "Oligochaeta.misc" "C-Gatherer"
