"","TEid","Week","ID","Unit","GTreat","Month","Depth","Velocity","Total Fish","Prob.  Fish","Prob.Lepomis","Log(probFish+1)","Enc2","TreatA","Treatment.x","ChlA.ug.cm2","AFDMg.cm2","sdAFDM","ChlA.g.cm2","AutoIndex","Structure","richness","Shannon","TotalN","TotalBM.mg","BMDensity.mgpm2","Enc","Treatment.y","Type","Spp","basketn","Density.npm","Enclosure","BMDensity.gpm2"
"1","w09A01","w09",71,"A1","AMBLIVE","Sept",0.595,0,1,0.083333333,0,0.0347621061255828,"A01","AMBL","AMBL",0.494479907144856,0.00179783451842276,0.000862743406263459,4.94479907144856e-07,3635.80904389728,2.07142857142857,6,1.73023804570537,11.5,21.7380378501059,327.873874058912,"A01","AMBL","Live","ACT",2,173.453996983409,"A1",0.327873874058912
"2","w09A02","w09",92,"A2","CONTROL","Sept",0.52,0,1,0.083333333,0.083333333,0.0347621061255828,"A02","CTRL","CTRL",0.269716312988103,0.00140145801910507,0.0012176172576993,2.69716312988103e-07,5196.04470185267,NA,13,1.82226097958451,39.3333333333333,28.9400471460703,291.000976833286,"A02","CTRL","Sham","ACT",3,395.508630802748,"A2",0.291000976833286
"3","w09A03","w09",51,"A3","ACTLIVE","Sept",0.465,0.029,3,0.25,0.166666667,0.0969100130080564,"A03","ACTL","ACTL",0.899054376627011,0.002320904509687,0.000818496747664129,8.99054376627011e-07,2581.49514648308,3.38888888888889,7,1.46945337298428,6.66666666666667,5.93704565779895,59.6987999778678,"A03","ACTL","Ctrl","Ctrl",3,67.0353611530082,"A3",0.0596987999778677
"4","w09A04","w09",81,"A4","AMBSHAM","Sept",0.545,0.011,2,0.166666667,0,0.0669467897546973,"A04","AMBS","AMBS",0.80914893896431,0.00132400405998217,0.000457003859879039,8.0914893896431e-07,1636.29215367552,3.56,10,1.55259553716334,19.6666666666667,14.9180155732201,150.005184245552,"A04","AMBS","Live","AMB",3,197.754315401374,"A4",0.150005184245552
"5","w09A05","w09",82,"A5","AMBSHAM","Sept",0.43,0.039,3,0.25,0.25,0.0969100130080564,"A05","AMBS","AMBS",0.764196220132959,0.00151915268194338,0.000827945483567878,7.64196220132959e-07,1987.90918081101,2.1,8,1.63377020445705,10.3333333333333,9.14710337401112,91.9769067271103,"A05","AMBS","Live","AMB",3,103.904809787163,"A5",0.0919769067271103
"6","w09A06","w09",91,"A6","CONTROL","Sept",0.465,0.04,0,0,0,0,"A06","CTRL","CTRL",1.12381797078376,0.00136464842347195,0.000507869554827659,1.12381797078376e-06,1214.29667343745,NA,8,1.68220548284694,11.6666666666667,17.6674992537186,177.652078971529,"A06","CTRL","Sham","ACT",3,117.311882017764,"A6",0.177652078971529
"7","w09A07","w09",62,"A7","ACTSHAM","Sept",0.51,0.055,2,0.166666667,0,0.0669467897546973,"A07","ACTS","ACTS",NA,0.00112638968449586,0.000851589888905949,NA,NA,2.625,4,0.940447988655326,3.33333333333333,4.06608293372344,40.8857006910351,"A07","ACTS","Sham","AMB",3,33.5176805765041,"A7",0.0408857006910351
"8","w09A08","w09",52,"A8","ACTLIVE","Sept",0.425,0.033,2,0.166666667,0.083333333,0.0669467897546973,"A08","ACTL","ACTL",0.494479907144856,0.00323954368072015,0.00129295124166541,4.94479907144856e-07,6551.41621309829,3.85,7,1.71572866350259,7.33333333333333,36.7221606203437,369.252494925527,"A08","ACTL","Ctrl","Ctrl",3,73.738897268309,"A8",0.369252494925527
"9","w09A09","w09",83,"A9","AMBSHAM","Sept",0.395,0.021,7,0.583333333,0.25,0.199572354813774,"A09","AMBS","AMBS",1.97791962857942,0.00148010705220176,0.000610456108137272,1.97791962857942e-06,748.315063370292,2,6,1.45638887734882,9.33333333333333,15.506313255503,155.920696385149,"A09","AMBS","Live","AMB",3,93.8495056142115,"A9",0.155920696385149
"10","w09A10","w09",61,"A10","ACTSHAM","Sept",0.51,0.012,6,0.5,0.416666667,0.176091259055681,"A10","ACTS","ACTS",0.584385344807557,0.00128143815374805,0.000424876237331422,5.84385344807557e-07,2192.79652567269,1.95,10,1.57556179004056,19,35.8455769490984,360.438179478114,"A10","ACTS","Sham","AMB",3,191.050779286073,"A10",0.360438179478114
